,author,text,like_count,published_at,updated_at
0,SuperTeo,"Các bạn có vấn đề gì thắc mắc liên quan đến PTIT để lại comment nhé!<br>☞ Bấm ĐĂNG KÝ kênh + chuông (nếu chưa) để nhận thông báo mới nhất<br>☞ Có phải học ngành nào thì ra trường sẽ được làm ngành đó? <a href=""https://youtu.be/hVi4FqUa8NA"">https://youtu.be/hVi4FqUa8NA</a><br>☞ Bạn nào vẫn đang loay hoay về việc chọn ngành có thể tham khảo quyển sách này nghen: <a href=""https://bit.ly/3p8yLo5"">https://bit.ly/3p8yLo5</a>",6,2021-07-18T11:23:51Z,2021-07-18T11:23:51Z
1,Trọng Nguyễn,anh ở hn thì ngành cntt học tại cơ sở nào của tr ạ,0,2022-08-31T07:20:50Z,2022-08-31T07:20:50Z
2,Nhất Nguyễn,Học phí 2022 là bao nhiêu ạ nghe nói tăng ghê lắm,0,2022-07-10T09:15:28Z,2022-07-10T09:15:28Z
3,Trang Lê,Anh ơi review trường đh công nghệ giao thông vận tải,0,2022-06-10T07:23:00Z,2022-06-10T07:23:00Z
4,Lê Thị Thảo,A ơi hệ vừa hk vừa làm thì có nên hk ko ạ,0,2021-09-15T17:02:04Z,2021-09-15T17:02:04Z
5,Thang Le,@Dalziel Official tất cả đều học ở quận 9 nhà bạn.Còn ở quận 1 là để nghiên cứu cho mấy bạn học nổi trội ấy,0,2021-08-01T03:01:22Z,2021-08-01T03:01:22Z
6,Dalziel Official,Trường 2 cơ sở ở TpHCM vậy ngành cndpt học cơ sở ở quận mấy ạ.Nếu ở quận 1 vậy cs ở Thủ Đức để làm gì ạ.,0,2021-07-23T15:31:10Z,2021-07-23T15:31:10Z
7,Say Love,toàn tai tiếng ý((:<br> như cái trường hoang ở đó mà học  viện công nghệ((:,0,2023-04-20T16:48:52Z,2023-04-20T16:48:52Z
8,Hoàng Nhi,"không biết nên trách hay cảm ơn ad vì gồng công pts cái ảnh trường nữa, cs hcm nhé &gt;&lt; lý do các bạn thấy ít ảnh vì csvc tồi hết sức, điều hòa thì phòng gv và tin học có thôi, hội trường có cũng k nỡ bật. ncl cl đào tạo ổn nhưng mình thấy csvc tồi kinh, có đk cứ đi xem thử rồi hãy qđ nhé các em",1,2023-04-11T08:35:17Z,2023-04-11T08:35:17Z
9,Say Love,đứng ròi đấy)):,0,2023-04-20T16:32:01Z,2023-04-20T16:32:01Z
10,Phát Trần,Em hc kế toán ở trg này có ổn ko ạ,0,2023-03-08T06:24:28Z,2023-03-08T06:24:28Z
11,Acc cmt dạo 😼,a nhận của trường bao nhiêu-))),0,2023-02-06T06:57:54Z,2023-02-06T06:57:54Z
12,Say Love,@Tính Huỳnh Trung trường tệ á như cái trường hoang luôn,0,2023-04-20T16:34:17Z,2023-04-20T16:34:17Z
13,Tính Huỳnh Trung,Sao v ạ😮,0,2023-03-28T17:37:50Z,2023-03-28T17:37:50Z
14,Trinh Kiều,Anh ơi trường có đào tạo ngành Digital marketing k ạ,0,2022-10-20T09:47:29Z,2022-10-20T09:47:29Z
15,Nguyễn Đức Ý,khuyên các em 2k5 ko nên thử ptit hcm nha =))) csvc phải gọi là tồi nhất cái sài gòn,0,2022-09-20T05:49:29Z,2022-09-20T05:49:29Z
